Total Dimensions: 128
Training dimension 1...
Epoch  46:  Train Loss: 1.104e-04,  Validation Loss: 8.187e-05,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.059382
Epoch  47:  Train Loss: 1.290e-04,  Validation Loss: 9.819e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.061217
Epoch  48:  Train Loss: 1.471e-04,  Validation Loss: 1.225e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.062991
Epoch  49:  Train Loss: 1.867e-04,  Validation Loss: 1.569e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.064701
Epoch  50:  Train Loss: 2.094e-04,  Validation Loss: 1.827e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.06634
Epoch  51:  Train Loss: 2.296e-04,  Validation Loss: 2.050e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.067905
Epoch  52:  Train Loss: 2.511e-04,  Validation Loss: 2.279e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.069391
Epoch  53:  Train Loss: 2.703e-04,  Validation Loss: 2.416e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.070793
Epoch  54:  Train Loss: 3.008e-04,  Validation Loss: 2.470e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.072108
Epoch  55:  Train Loss: 2.746e-04,  Validation Loss: 2.121e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.073333
Epoch  56:  Train Loss: 2.741e-04,  Validation Loss: 1.879e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.074462
Epoch  57:  Train Loss: 2.298e-04,  Validation Loss: 1.435e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.075494
Epoch  58:  Train Loss: 1.511e-04,  Validation Loss: 8.303e-05,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.076425
Epoch  59:  Train Loss: 7.225e-05,  Validation Loss: 3.260e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.077253
Epoch  60:  Train Loss: 2.884e-05,  Validation Loss: 1.006e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.077976
Epoch  61:  Train Loss: 7.084e-06,  Validation Loss: 2.217e-06,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.078591
Epoch  62:  Train Loss: 6.777e-07,  Validation Loss: 3.555e-07,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.079096
Epoch  63:  Train Loss: 2.256e-09,  Validation Loss: 2.652e-11,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.079491
Epoch  64:  Train Loss: 6.727e-14,  Validation Loss: 2.097e-15,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.079773
Early stopping at epoch 64 as train loss 0.00000000000007 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 44.58s
Training dimension 2...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch   1:  Train Loss: 1.319e-02,  Validation Loss: 1.182e-04,  Epoch Time: 0.75s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 8.748e-05,  Validation Loss: 6.235e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 7.628e-05,  Validation Loss: 6.763e-05,  Epoch Time: 0.69s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 6.600e-05,  Validation Loss: 7.957e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.826e-04,  Validation Loss: 2.830e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 2.588e-04,  Validation Loss: 4.607e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.677e-04,  Validation Loss: 1.169e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 2.733e-04,  Validation Loss: 3.767e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 5.6692e-05
Epoch   9:  Train Loss: 2.884e-04,  Validation Loss: 1.536e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.00022661
Epoch  10:  Train Loss: 2.394e-04,  Validation Loss: 2.488e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.00050927
Epoch  11:  Train Loss: 3.194e-04,  Validation Loss: 2.041e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.00090386
Epoch  12:  Train Loss: 1.469e-04,  Validation Loss: 2.218e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0014093
Epoch  13:  Train Loss: 2.344e-04,  Validation Loss: 6.306e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0020241
Epoch  14:  Train Loss: 1.781e-04,  Validation Loss: 1.202e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.0027466
Epoch  15:  Train Loss: 1.336e-04,  Validation Loss: 2.751e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0035746
Epoch  16:  Train Loss: 3.871e-04,  Validation Loss: 2.299e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.0045059
Epoch  17:  Train Loss: 1.032e-04,  Validation Loss: 4.264e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0055378
Epoch  18:  Train Loss: 1.074e-04,  Validation Loss: 1.115e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.0066674
Epoch  19:  Train Loss: 1.550e-04,  Validation Loss: 1.232e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0078915
Epoch  20:  Train Loss: 2.539e-04,  Validation Loss: 8.279e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.0092066
Epoch  21:  Train Loss: 7.687e-05,  Validation Loss: 2.522e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.010609
Epoch  22:  Train Loss: 7.603e-05,  Validation Loss: 1.057e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.012095
Epoch  23:  Train Loss: 1.108e-04,  Validation Loss: 6.154e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.01366
Epoch  24:  Train Loss: 1.479e-04,  Validation Loss: 2.084e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.015299
Epoch  25:  Train Loss: 8.659e-05,  Validation Loss: 3.206e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.017009
Epoch  26:  Train Loss: 5.503e-05,  Validation Loss: 4.150e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.018783
Epoch  27:  Train Loss: 9.488e-05,  Validation Loss: 2.928e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.020618
Epoch  28:  Train Loss: 8.964e-05,  Validation Loss: 1.105e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.022508
Epoch  29:  Train Loss: 1.118e-04,  Validation Loss: 1.484e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.024447
Epoch  30:  Train Loss: 5.427e-05,  Validation Loss: 3.583e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.02643
Epoch  31:  Train Loss: 6.948e-05,  Validation Loss: 1.368e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.028452
Epoch  32:  Train Loss: 5.155e-05,  Validation Loss: 1.790e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.030507
Epoch  33:  Train Loss: 6.171e-05,  Validation Loss: 2.083e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.032588
Epoch  34:  Train Loss: 8.481e-05,  Validation Loss: 1.180e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.034691
Epoch  35:  Train Loss: 9.238e-05,  Validation Loss: 9.532e-06,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.036809
Epoch  36:  Train Loss: 6.817e-05,  Validation Loss: 1.009e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.038935
Epoch  37:  Train Loss: 6.584e-05,  Validation Loss: 1.040e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.041065
Epoch  38:  Train Loss: 5.935e-05,  Validation Loss: 1.137e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.043191
Epoch  39:  Train Loss: 6.057e-05,  Validation Loss: 1.174e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.045309
Epoch  40:  Train Loss: 6.632e-05,  Validation Loss: 1.469e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.047412
Epoch  41:  Train Loss: 6.498e-05,  Validation Loss: 1.814e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.049493
Epoch  42:  Train Loss: 7.711e-05,  Validation Loss: 2.302e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.051548
Epoch  43:  Train Loss: 7.860e-05,  Validation Loss: 2.849e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.05357
Epoch  44:  Train Loss: 1.092e-04,  Validation Loss: 4.301e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.055553
Epoch  45:  Train Loss: 1.218e-04,  Validation Loss: 6.140e-05,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.057492
Epoch  46:  Train Loss: 1.289e-04,  Validation Loss: 7.673e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.059382
Epoch  47:  Train Loss: 1.554e-04,  Validation Loss: 9.958e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.061217
Epoch  48:  Train Loss: 1.647e-04,  Validation Loss: 1.234e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.062991
Epoch  49:  Train Loss: 1.887e-04,  Validation Loss: 1.460e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.064701
Epoch  50:  Train Loss: 2.202e-04,  Validation Loss: 1.770e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.06634
Epoch  51:  Train Loss: 2.398e-04,  Validation Loss: 1.948e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.067905
Epoch  52:  Train Loss: 2.889e-04,  Validation Loss: 2.297e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.069391
Epoch  53:  Train Loss: 2.888e-04,  Validation Loss: 2.500e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.070793
Epoch  54:  Train Loss: 3.372e-04,  Validation Loss: 2.903e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.072108
Epoch  55:  Train Loss: 3.524e-04,  Validation Loss: 3.147e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.073333
Epoch  56:  Train Loss: 3.752e-04,  Validation Loss: 3.386e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.074462
Epoch  57:  Train Loss: 4.570e-04,  Validation Loss: 4.096e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.075494
Epoch  58:  Train Loss: 4.596e-04,  Validation Loss: 4.308e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.076425
Epoch  59:  Train Loss: 4.668e-04,  Validation Loss: 4.470e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.077253
Epoch  60:  Train Loss: 4.908e-04,  Validation Loss: 4.700e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.077976
Epoch  61:  Train Loss: 4.913e-04,  Validation Loss: 4.852e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.078591
Epoch  62:  Train Loss: 5.011e-04,  Validation Loss: 4.942e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.079096
Epoch  63:  Train Loss: 5.134e-04,  Validation Loss: 5.077e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.079491
Epoch  64:  Train Loss: 5.193e-04,  Validation Loss: 5.159e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.079773
Epoch  65:  Train Loss: 5.264e-04,  Validation Loss: 5.232e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.079943
Epoch  66:  Train Loss: 5.323e-04,  Validation Loss: 5.300e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  67:  Train Loss: 5.428e-04,  Validation Loss: 5.469e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  68:  Train Loss: 5.461e-04,  Validation Loss: 5.489e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  69:  Train Loss: 5.496e-04,  Validation Loss: 5.539e-04,  Epoch Time: 0.71s,  Current Pruning Threshold: 0.08
Epoch  70:  Train Loss: 5.563e-04,  Validation Loss: 5.632e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  71:  Train Loss: 5.638e-04,  Validation Loss: 5.679e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  72:  Train Loss: 5.710e-04,  Validation Loss: 5.765e-04,  Epoch Time: 0.75s,  Current Pruning Threshold: 0.08
Epoch  73:  Train Loss: 5.742e-04,  Validation Loss: 5.800e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  74:  Train Loss: 5.751e-04,  Validation Loss: 5.855e-04,  Epoch Time: 0.72s,  Current Pruning Threshold: 0.08
Epoch  75:  Train Loss: 5.799e-04,  Validation Loss: 5.907e-04,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.08
