Training dimension 1...
Epoch  45:  Train Loss: 5.6308e-02,  Validation Loss: 4.1574e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  46:  Train Loss: 4.7511e-02,  Validation Loss: 5.8339e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  47:  Train Loss: 3.8227e-02,  Validation Loss: 3.1358e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  48:  Train Loss: 3.6042e-02,  Validation Loss: 3.2007e-02,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
Epoch  49:  Train Loss: 6.9090e+00,  Validation Loss: 2.5247e+01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch  50:  Train Loss: 1.7128e+00,  Validation Loss: 4.9269e-02,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.00087931
Epoch  51:  Train Loss: 1.6114e+00,  Validation Loss: 8.7544e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.0035069
Epoch  52:  Train Loss: 9.8336e-01,  Validation Loss: 8.0816e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.007852
Epoch  53:  Train Loss: 1.2152e+00,  Validation Loss: 8.0351e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.013864
Epoch  54:  Train Loss: 9.4965e-01,  Validation Loss: 8.0451e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.021471
Epoch  55:  Train Loss: 7.6583e-01,  Validation Loss: 7.0465e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.030586
Epoch  56:  Train Loss: 7.0415e-01,  Validation Loss: 6.3549e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.041101
Epoch  57:  Train Loss: 7.5796e-01,  Validation Loss: 6.3749e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.052892
Epoch  58:  Train Loss: 9.1414e-01,  Validation Loss: 6.5779e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.065822
Epoch  59:  Train Loss: 4.7374e-01,  Validation Loss: 3.3573e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.079739
Epoch  60:  Train Loss: 2.3833e-01,  Validation Loss: 1.6237e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.094479
Epoch  61:  Train Loss: 1.1038e-01,  Validation Loss: 7.0339e-02,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.10987
Epoch  62:  Train Loss: 4.5190e-02,  Validation Loss: 2.6414e-02,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.12573
Epoch  63:  Train Loss: 1.5811e-02,  Validation Loss: 8.2765e-03,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.14188
Epoch  64:  Train Loss: 4.5179e-03,  Validation Loss: 2.0587e-03,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.15812
Epoch  65:  Train Loss: 1.0057e-03,  Validation Loss: 3.7605e-04,  Epoch Time: 0.56s,  Current Pruning Threshold: 0.17427
Epoch  66:  Train Loss: 1.6499e-04,  Validation Loss: 4.8749e-05,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.19013
Epoch  67:  Train Loss: 1.8685e-05,  Validation Loss: 4.1080e-06,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.20552
Epoch  68:  Train Loss: 1.3458e-06,  Validation Loss: 1.9798e-07,  Epoch Time: 0.53s,  Current Pruning Threshold: 0.22026
Epoch  69:  Train Loss: 5.6160e-08,  Validation Loss: 6.0442e-09,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.23418
Epoch  70:  Train Loss: 1.6478e-09,  Validation Loss: 8.5355e-10,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.24711
Epoch  71:  Train Loss: 6.7662e-10,  Validation Loss: 5.6748e-10,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.2589
Epoch  72:  Train Loss: 4.5124e-10,  Validation Loss: 3.9595e-10,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.26941
Epoch  73:  Train Loss: 3.0976e-10,  Validation Loss: 2.6976e-10,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.27853
Epoch  74:  Train Loss: 2.1855e-10,  Validation Loss: 1.8275e-10,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.28614
Epoch  75:  Train Loss: 1.4574e-10,  Validation Loss: 1.2954e-10,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.29215
Epoch  76:  Train Loss: 9.9401e-11,  Validation Loss: 8.1576e-11,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.29649
Early stopping at epoch 76 as train loss 0.000000000082 is below the threshold 0.000000000100
Traininng Stopped. Time elapsed: 30.00s
Training dimension 2...
Epoch   1:  Train Loss: 5.6583e+02,  Validation Loss: 3.0651e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.2408e+00,  Validation Loss: 1.6348e+00,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.4204e+00,  Validation Loss: 1.2204e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.0571e+00,  Validation Loss: 8.5575e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 8.8277e-01,  Validation Loss: 7.7606e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
