Total Dimensions: 60
Training dimension 1...
Epoch  47:  Train Loss: 5.128e-04,  Validation Loss: 5.085e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch  48:  Train Loss: 2.172e-03,  Validation Loss: 7.704e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0005862
Epoch  49:  Train Loss: 6.642e-04,  Validation Loss: 4.579e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0023379
Epoch  50:  Train Loss: 4.783e-04,  Validation Loss: 5.402e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0052347
Epoch  51:  Train Loss: 6.281e-04,  Validation Loss: 6.772e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.0092425
Epoch  52:  Train Loss: 1.719e-03,  Validation Loss: 3.337e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.014314
Epoch  53:  Train Loss: 3.406e-03,  Validation Loss: 1.015e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.020391
Epoch  54:  Train Loss: 8.585e-04,  Validation Loss: 4.866e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0274
Epoch  55:  Train Loss: 7.147e-04,  Validation Loss: 2.773e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.035261
Epoch  56:  Train Loss: 7.851e-04,  Validation Loss: 3.062e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.043881
Epoch  57:  Train Loss: 8.147e-04,  Validation Loss: 3.334e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.053159
Epoch  58:  Train Loss: 8.146e-04,  Validation Loss: 1.627e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.062986
Epoch  59:  Train Loss: 7.780e-04,  Validation Loss: 1.467e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.073247
Epoch  60:  Train Loss: 7.070e-04,  Validation Loss: 1.695e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.083822
Epoch  61:  Train Loss: 5.692e-04,  Validation Loss: 1.945e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.094586
Epoch  62:  Train Loss: 6.229e-04,  Validation Loss: 2.529e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.10541
Epoch  63:  Train Loss: 7.190e-04,  Validation Loss: 3.654e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.11618
Epoch  64:  Train Loss: 6.108e-04,  Validation Loss: 2.639e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.12675
Epoch  65:  Train Loss: 2.303e-04,  Validation Loss: 4.560e-05,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.13701
Epoch  66:  Train Loss: 1.081e-05,  Validation Loss: 4.572e-06,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.14684
Epoch  67:  Train Loss: 3.716e-08,  Validation Loss: 1.427e-09,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.15612
Epoch  68:  Train Loss: 7.006e-10,  Validation Loss: 4.057e-15,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.16474
Early stopping at epoch 68 as train loss 0.0000 is below the threshold 0.0000
Traininng Stopped. Time elapsed: 54.10s
Training dimension 2...
Epoch   1:  Train Loss: 3.450e-01,  Validation Loss: 8.102e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 4.054e-03,  Validation Loss: 2.773e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.949e-03,  Validation Loss: 1.513e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.492e-03,  Validation Loss: 1.837e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 2.213e-03,  Validation Loss: 3.994e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 8.201e-03,  Validation Loss: 1.605e-02,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.622e-02,  Validation Loss: 1.746e-02,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 6.226e-03,  Validation Loss: 2.486e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.0005862
Epoch   9:  Train Loss: 2.308e-03,  Validation Loss: 3.116e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0023379
Epoch  10:  Train Loss: 6.492e-03,  Validation Loss: 9.350e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.0052347
Epoch  11:  Train Loss: 3.936e-03,  Validation Loss: 1.050e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0092425
Epoch  12:  Train Loss: 7.443e-04,  Validation Loss: 6.534e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.014314
Epoch  13:  Train Loss: 7.228e-04,  Validation Loss: 5.463e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.020391
Epoch  14:  Train Loss: 6.041e-04,  Validation Loss: 5.281e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.0274
Epoch  15:  Train Loss: 7.814e-04,  Validation Loss: 3.713e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.035261
Epoch  16:  Train Loss: 6.678e-04,  Validation Loss: 3.190e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.043881
Epoch  17:  Train Loss: 5.221e-04,  Validation Loss: 1.548e-04,  Epoch Time: 0.87s,  Current Pruning Threshold: 0.053159
Epoch  18:  Train Loss: 4.736e-04,  Validation Loss: 1.177e-04,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.062986
Epoch  19:  Train Loss: 4.142e-04,  Validation Loss: 1.252e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.073247
Epoch  20:  Train Loss: 3.839e-04,  Validation Loss: 1.793e-04,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.083822
Epoch  21:  Train Loss: 4.350e-04,  Validation Loss: 2.443e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.094586
Epoch  22:  Train Loss: 4.863e-04,  Validation Loss: 3.570e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.10541
Epoch  23:  Train Loss: 6.578e-04,  Validation Loss: 5.163e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.11618
Epoch  24:  Train Loss: 8.229e-04,  Validation Loss: 8.035e-04,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.12675
Epoch  25:  Train Loss: 1.019e-03,  Validation Loss: 9.557e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.13701
Epoch  26:  Train Loss: 1.203e-03,  Validation Loss: 1.167e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.14684
Epoch  27:  Train Loss: 1.303e-03,  Validation Loss: 1.209e-03,  Epoch Time: 0.87s,  Current Pruning Threshold: 0.15612
Epoch  28:  Train Loss: 1.364e-03,  Validation Loss: 1.471e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.16474
Epoch  29:  Train Loss: 1.488e-03,  Validation Loss: 1.550e-03,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.1726
Epoch  30:  Train Loss: 1.478e-03,  Validation Loss: 1.644e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.17961
Epoch  31:  Train Loss: 1.585e-03,  Validation Loss: 1.718e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.18569
Epoch  32:  Train Loss: 1.645e-03,  Validation Loss: 1.577e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.19076
Epoch  33:  Train Loss: 1.675e-03,  Validation Loss: 1.747e-03,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.19477
Epoch  34:  Train Loss: 1.710e-03,  Validation Loss: 1.783e-03,  Epoch Time: 0.87s,  Current Pruning Threshold: 0.19766
Epoch  35:  Train Loss: 1.727e-03,  Validation Loss: 1.741e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.19941
Epoch  36:  Train Loss: 1.756e-03,  Validation Loss: 1.799e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.2
Epoch  37:  Train Loss: 1.754e-03,  Validation Loss: 1.675e-03,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.2
Epoch  38:  Train Loss: 1.753e-03,  Validation Loss: 1.766e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.2
Epoch  39:  Train Loss: 1.755e-03,  Validation Loss: 1.769e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.2
Epoch  40:  Train Loss: 1.767e-03,  Validation Loss: 1.759e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.2
Epoch  41:  Train Loss: 3.081e-01,  Validation Loss: 3.302e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch  42:  Train Loss: 1.775e-03,  Validation Loss: 1.026e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch  43:  Train Loss: 7.260e-04,  Validation Loss: 5.149e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch  44:  Train Loss: 4.531e-04,  Validation Loss: 3.905e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0
Epoch  45:  Train Loss: 3.588e-04,  Validation Loss: 3.477e-04,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch  46:  Train Loss: 1.060e-03,  Validation Loss: 6.553e-04,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch  47:  Train Loss: 5.706e-04,  Validation Loss: 3.212e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0
Epoch  48:  Train Loss: 1.514e-03,  Validation Loss: 1.975e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0005862
Epoch  49:  Train Loss: 1.743e-03,  Validation Loss: 1.074e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0023379
Epoch  50:  Train Loss: 6.705e-04,  Validation Loss: 4.787e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0052347
Epoch  51:  Train Loss: 6.113e-04,  Validation Loss: 1.042e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.0092425
Epoch  52:  Train Loss: 1.339e-03,  Validation Loss: 9.860e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.014314
Epoch  53:  Train Loss: 6.796e-04,  Validation Loss: 3.354e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.020391
Epoch  54:  Train Loss: 4.419e-04,  Validation Loss: 1.517e-04,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.0274
Epoch  55:  Train Loss: 3.001e-04,  Validation Loss: 9.726e-05,  Epoch Time: 1.04s,  Current Pruning Threshold: 0.035261
Epoch  56:  Train Loss: 3.560e-04,  Validation Loss: 9.207e-05,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.043881
Epoch  57:  Train Loss: 2.865e-04,  Validation Loss: 5.888e-05,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.053159
Epoch  58:  Train Loss: 2.414e-04,  Validation Loss: 7.396e-05,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.062986
Epoch  59:  Train Loss: 2.180e-04,  Validation Loss: 7.213e-05,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.073247
Epoch  60:  Train Loss: 3.319e-04,  Validation Loss: 1.289e-04,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.083822
Epoch  61:  Train Loss: 3.705e-04,  Validation Loss: 1.541e-04,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.094586
Epoch  62:  Train Loss: 4.996e-04,  Validation Loss: 3.137e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.10541
Epoch  63:  Train Loss: 6.103e-04,  Validation Loss: 5.648e-04,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.11618
