Total Dimensions: 100
Training dimension 1...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch  15:  Train Loss: 2.433e-01,  Validation Loss: 2.438e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 1.752e-01,  Validation Loss: 1.791e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 1.331e-01,  Validation Loss: 1.364e-01,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 1.074e-01,  Validation Loss: 1.121e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 9.181e-02,  Validation Loss: 8.657e-02,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 9.103e-02,  Validation Loss: 7.498e-02,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 1.072e-01,  Validation Loss: 7.269e-02,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.039687
Epoch  22:  Train Loss: 1.280e-01,  Validation Loss: 7.075e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.049865
Epoch  23:  Train Loss: 1.541e-01,  Validation Loss: 7.407e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.061063
Epoch  24:  Train Loss: 1.526e-01,  Validation Loss: 6.781e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.073223
Epoch  25:  Train Loss: 8.979e-02,  Validation Loss: 3.353e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.086285
Epoch  26:  Train Loss: 1.864e-02,  Validation Loss: 6.325e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.10018
Epoch  27:  Train Loss: 1.686e-03,  Validation Loss: 7.287e-04,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.11484
Epoch  28:  Train Loss: 4.884e-04,  Validation Loss: 4.882e-05,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.13019
Epoch  29:  Train Loss: 2.999e-08,  Validation Loss: 3.002e-08,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.14615
Epoch  30:  Train Loss: 1.069e-12,  Validation Loss: 5.209e-15,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.16263
Early stopping at epoch 30 as train loss 0.00000000000107 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 14.23s
Training dimension 3...
Epoch   1:  Train Loss: 5.595e-02,  Validation Loss: 7.985e-03,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 6.051e-03,  Validation Loss: 4.419e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 3.458e-03,  Validation Loss: 2.741e-03,  Epoch Time: 0.51s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 2.139e-03,  Validation Loss: 2.003e-03,  Epoch Time: 0.47s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.591e-03,  Validation Loss: 1.923e-03,  Epoch Time: 0.49s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.769e-03,  Validation Loss: 1.996e-03,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 5.971e-03,  Validation Loss: 1.079e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 1.344e-02,  Validation Loss: 1.375e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 9.038e-03,  Validation Loss: 5.473e-03,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 2.626e-03,  Validation Loss: 8.290e-04,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 9.338e-04,  Validation Loss: 4.620e-04,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 2.067e-03,  Validation Loss: 8.680e-03,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 1.748e+02,  Validation Loss: 9.973e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 3.985e+00,  Validation Loss: 1.853e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 1.145e+00,  Validation Loss: 8.987e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 5.958e-01,  Validation Loss: 5.388e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 3.744e-01,  Validation Loss: 3.598e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 2.564e-01,  Validation Loss: 2.527e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 1.918e-01,  Validation Loss: 1.902e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 1.620e-01,  Validation Loss: 1.500e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 1.553e-01,  Validation Loss: 1.264e-01,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.039687
Epoch  22:  Train Loss: 1.761e-01,  Validation Loss: 1.171e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.049865
Epoch  23:  Train Loss: 1.964e-01,  Validation Loss: 1.148e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.061063
Epoch  24:  Train Loss: 2.438e-01,  Validation Loss: 1.222e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.073223
Epoch  25:  Train Loss: 2.115e-01,  Validation Loss: 9.347e-02,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.086285
Epoch  26:  Train Loss: 1.009e-01,  Validation Loss: 3.353e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.10018
Epoch  27:  Train Loss: 1.266e-02,  Validation Loss: 4.241e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.11484
Epoch  28:  Train Loss: 1.532e-03,  Validation Loss: 6.672e-04,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.13019
Epoch  29:  Train Loss: 3.110e-07,  Validation Loss: 5.605e-08,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.14615
Epoch  30:  Train Loss: 2.644e-11,  Validation Loss: 1.499e-14,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.16263
Early stopping at epoch 30 as train loss 0.00000000002644 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 13.05s
Training dimension 4...
Epoch   1:  Train Loss: 6.441e-02,  Validation Loss: 8.558e-03,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
