Training dimension 1...
Epoch 120:  Train Loss: 2.4584e-14,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.32891
Early stopping at epoch 134 as train loss 0.000000000000 is below the threshold 0.000001000000
Traininng Stopped. Time elapsed: 9.70s

Epoch  20:  Train Loss: 2.7758e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch  40:  Train Loss: 8.4570e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch  60:  Train Loss: 6.4145e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch  80:  Train Loss: 5.6381e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 100:  Train Loss: 7.1585e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 120:  Train Loss: 6.4052e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 140:  Train Loss: 6.2638e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 160:  Train Loss: 5.2974e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 180:  Train Loss: 6.2865e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 200:  Train Loss: 5.6790e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 220:  Train Loss: 7.0382e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 240:  Train Loss: 1.0983e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 260:  Train Loss: 6.3467e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 280:  Train Loss: 5.8717e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 300:  Train Loss: 6.2378e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 320:  Train Loss: 6.0524e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 340:  Train Loss: 5.7998e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.083247
Epoch 360:  Train Loss: 5.4156e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.09562
Epoch 380:  Train Loss: 5.4310e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 400:  Train Loss: 6.2308e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 420:  Train Loss: 6.8817e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 440:  Train Loss: 9.7566e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 460:  Train Loss: 5.6479e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 480:  Train Loss: 5.4566e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.024394
Epoch 500:  Train Loss: 4.0747e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.044215
Epoch 520:  Train Loss: 4.1300e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.065049
Epoch 540:  Train Loss: 4.2537e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.083247
Epoch 560:  Train Loss: 3.9324e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.09562
Epoch 580:  Train Loss: 3.6217e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.1
