Total Dimensions: 10
Training dimension 1...
Epoch  43 (Period 2):  Train Loss: 2.267e-02,  Validation Loss: 1.954e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.028238
Epoch  44 (Period 2):  Train Loss: 3.602e-02,  Validation Loss: 2.861e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0375
Epoch  45 (Period 2):  Train Loss: 4.952e-02,  Validation Loss: 3.756e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.047599
Epoch  46 (Period 2):  Train Loss: 3.382e-02,  Validation Loss: 2.557e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.058311
Epoch  47 (Period 2):  Train Loss: 2.932e-02,  Validation Loss: 1.990e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.069395
Epoch  48 (Period 2):  Train Loss: 2.313e-02,  Validation Loss: 1.177e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.080605
Epoch  49 (Period 2):  Train Loss: 1.548e-02,  Validation Loss: 2.421e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.091689
Epoch  50 (Period 2):  Train Loss: 7.040e-04,  Validation Loss: 1.203e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.1024
Epoch  51 (Period 2):  Train Loss: 2.876e-05,  Validation Loss: 2.036e-07,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1125
Epoch  52 (Period 2):  Train Loss: 4.451e-09,  Validation Loss: 2.387e-11,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.12176
Epoch  53 (Period 2):  Train Loss: 1.940e-11,  Validation Loss: 1.607e-11,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12998
Early stopping at epoch 53 as train loss 0.00000000001940 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 17.43s
Final model saved as best with loss: 1.606638e-11

Training dimension 2...
Epoch   1 (Period 1):  Train Loss: 7.272e-01,  Validation Loss: 2.311e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 1.865e-02,  Validation Loss: 9.901e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 8.643e-03,  Validation Loss: 5.892e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 6.401e-03,  Validation Loss: 5.264e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 6.440e-03,  Validation Loss: 3.284e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 1.788e-02,  Validation Loss: 2.617e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 5.783e-03,  Validation Loss: 1.044e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.413e-02,  Validation Loss: 7.830e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.00083769
Epoch   9 (Period 1):  Train Loss: 1.482e-02,  Validation Loss: 4.222e-03,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.003332
Epoch  10 (Period 1):  Train Loss: 4.389e-03,  Validation Loss: 1.610e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0074273
Epoch  11 (Period 1):  Train Loss: 9.829e-03,  Validation Loss: 2.994e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013032
Epoch  12 (Period 1):  Train Loss: 3.496e-02,  Validation Loss: 8.032e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  13 (Period 1):  Train Loss: 3.575e-02,  Validation Loss: 1.583e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.028238
Epoch  14 (Period 1):  Train Loss: 9.228e-02,  Validation Loss: 4.285e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0375
Epoch  15 (Period 1):  Train Loss: 7.867e-02,  Validation Loss: 5.419e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.047599
Epoch  16 (Period 1):  Train Loss: 8.521e-02,  Validation Loss: 6.100e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.058311
Epoch  17 (Period 1):  Train Loss: 1.073e-01,  Validation Loss: 7.921e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.069395
Epoch  18 (Period 1):  Train Loss: 9.198e-02,  Validation Loss: 7.019e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.080605
Epoch  19 (Period 1):  Train Loss: 8.479e-02,  Validation Loss: 6.825e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.091689
Epoch  20 (Period 1):  Train Loss: 6.934e-02,  Validation Loss: 6.136e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1024
Epoch  21 (Period 1):  Train Loss: 1.316e-01,  Validation Loss: 1.090e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1125
Epoch  22 (Period 1):  Train Loss: 1.689e-01,  Validation Loss: 1.131e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12176
Epoch  23 (Period 1):  Train Loss: 1.211e-01,  Validation Loss: 1.007e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12998
Epoch  24 (Period 1):  Train Loss: 9.872e-02,  Validation Loss: 9.878e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.13697
Epoch  25 (Period 1):  Train Loss: 1.475e-01,  Validation Loss: 1.018e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.14257
Epoch  26 (Period 1):  Train Loss: 1.106e-01,  Validation Loss: 1.093e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.14667
Epoch  27 (Period 1):  Train Loss: 1.086e-01,  Validation Loss: 1.086e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.14916
Epoch  28 (Period 1):  Train Loss: 1.086e-01,  Validation Loss: 1.089e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  29 (Period 1):  Train Loss: 1.088e-01,  Validation Loss: 1.086e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  30 (Period 1):  Train Loss: 1.084e-01,  Validation Loss: 1.107e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.15
Epoch  31 (Period 2):  Train Loss: 2.517e-01,  Validation Loss: 6.535e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  32 (Period 2):  Train Loss: 4.565e-04,  Validation Loss: 2.830e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  33 (Period 2):  Train Loss: 2.190e-04,  Validation Loss: 1.635e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  34 (Period 2):  Train Loss: 1.568e-04,  Validation Loss: 2.171e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  35 (Period 2):  Train Loss: 3.509e-04,  Validation Loss: 2.304e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  36 (Period 2):  Train Loss: 2.436e-02,  Validation Loss: 4.046e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  37 (Period 2):  Train Loss: 5.644e-03,  Validation Loss: 1.114e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  38 (Period 2):  Train Loss: 1.293e-04,  Validation Loss: 5.381e-05,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.00083769
Epoch  39 (Period 2):  Train Loss: 1.578e-03,  Validation Loss: 6.426e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.003332
Epoch  40 (Period 2):  Train Loss: 1.064e-03,  Validation Loss: 4.591e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0074273
Epoch  41 (Period 2):  Train Loss: 3.438e-04,  Validation Loss: 4.062e-06,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.013032
Epoch  42 (Period 2):  Train Loss: 3.710e-07,  Validation Loss: 1.489e-08,  Epoch Time: 0.64s,  Current Pruning Threshold: 0.020021
Epoch  43 (Period 2):  Train Loss: 1.814e-09,  Validation Loss: 9.873e-12,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.028238
Epoch  44 (Period 2):  Train Loss: 9.857e-12,  Validation Loss: 9.537e-12,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.0375
Early stopping at epoch 44 as train loss 0.00000000000986 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 14.53s
Final model saved as best with loss: 9.536791e-12

Training dimension 3...
Epoch   1 (Period 1):  Train Loss: 8.997e-01,  Validation Loss: 3.422e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.144e-02,  Validation Loss: 1.456e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.070e-02,  Validation Loss: 7.548e-03,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 7.078e-03,  Validation Loss: 5.797e-03,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 6.548e-03,  Validation Loss: 6.354e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 5.939e-03,  Validation Loss: 4.310e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.591e-02,  Validation Loss: 3.113e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 8.198e-03,  Validation Loss: 8.774e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.00083769
Epoch   9 (Period 1):  Train Loss: 1.125e-02,  Validation Loss: 2.104e-03,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.003332
Epoch  10 (Period 1):  Train Loss: 5.636e-03,  Validation Loss: 2.641e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0074273
Epoch  11 (Period 1):  Train Loss: 1.899e-02,  Validation Loss: 3.438e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013032
Epoch  12 (Period 1):  Train Loss: 2.963e-02,  Validation Loss: 6.599e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  13 (Period 1):  Train Loss: 4.996e-02,  Validation Loss: 2.308e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.028238
Epoch  14 (Period 1):  Train Loss: 6.356e-02,  Validation Loss: 3.417e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0375
Epoch  15 (Period 1):  Train Loss: 8.061e-02,  Validation Loss: 5.023e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.047599
Epoch  16 (Period 1):  Train Loss: 1.061e-01,  Validation Loss: 7.055e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.058311
Epoch  17 (Period 1):  Train Loss: 1.063e-01,  Validation Loss: 7.901e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.069395
Epoch  18 (Period 1):  Train Loss: 1.189e-01,  Validation Loss: 9.295e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.080605
Epoch  19 (Period 1):  Train Loss: 1.138e-01,  Validation Loss: 8.568e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.091689
Epoch  20 (Period 1):  Train Loss: 9.131e-02,  Validation Loss: 7.482e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.1024
Epoch  21 (Period 1):  Train Loss: 1.668e-01,  Validation Loss: 1.577e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1125
Epoch  22 (Period 1):  Train Loss: 1.774e-01,  Validation Loss: 1.386e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12176
Epoch  23 (Period 1):  Train Loss: 1.432e-01,  Validation Loss: 1.288e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12998
Epoch  24 (Period 1):  Train Loss: 1.216e-01,  Validation Loss: 1.153e-01,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.13697
Epoch  25 (Period 1):  Train Loss: 1.113e-01,  Validation Loss: 1.128e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.14257
Epoch  26 (Period 1):  Train Loss: 1.109e-01,  Validation Loss: 1.111e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.14667
Epoch  27 (Period 1):  Train Loss: 1.105e-01,  Validation Loss: 1.116e-01,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.14916
Epoch  28 (Period 1):  Train Loss: 1.110e-01,  Validation Loss: 1.119e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.15
Epoch  29 (Period 1):  Train Loss: 1.113e-01,  Validation Loss: 1.116e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  30 (Period 1):  Train Loss: 1.114e-01,  Validation Loss: 1.117e-01,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.15
Epoch  31 (Period 2):  Train Loss: 1.932e-01,  Validation Loss: 7.549e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  32 (Period 2):  Train Loss: 5.145e-04,  Validation Loss: 9.750e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  33 (Period 2):  Train Loss: 7.587e-04,  Validation Loss: 3.125e-04,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch  34 (Period 2):  Train Loss: 7.625e-04,  Validation Loss: 5.644e-04,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch  35 (Period 2):  Train Loss: 5.341e-04,  Validation Loss: 6.998e-04,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch  36 (Period 2):  Train Loss: 5.110e-02,  Validation Loss: 1.710e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch  37 (Period 2):  Train Loss: 2.493e-03,  Validation Loss: 1.551e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  38 (Period 2):  Train Loss: 1.036e-04,  Validation Loss: 7.605e-05,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.00083769
Epoch  39 (Period 2):  Train Loss: 1.413e-03,  Validation Loss: 5.206e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.003332
Epoch  40 (Period 2):  Train Loss: 1.031e-03,  Validation Loss: 4.684e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0074273
Epoch  41 (Period 2):  Train Loss: 4.253e-04,  Validation Loss: 2.004e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013032
Epoch  42 (Period 2):  Train Loss: 1.501e-04,  Validation Loss: 1.020e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  43 (Period 2):  Train Loss: 1.059e-04,  Validation Loss: 1.971e-07,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.028238
Epoch  44 (Period 2):  Train Loss: 3.452e-09,  Validation Loss: 8.854e-10,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0375
Epoch  45 (Period 2):  Train Loss: 7.004e-11,  Validation Loss: 1.363e-12,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.047599
Early stopping at epoch 45 as train loss 0.00000000007004 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 14.76s
Final model saved as best with loss: 1.363144e-12

Training dimension 4...
Epoch   1 (Period 1):  Train Loss: 1.048e+00,  Validation Loss: 3.930e-02,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.622e-02,  Validation Loss: 1.437e-02,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.197e-02,  Validation Loss: 8.639e-03,  Epoch Time: 0.67s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 8.225e-03,  Validation Loss: 7.357e-03,  Epoch Time: 0.53s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 7.238e-03,  Validation Loss: 9.150e-03,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 6.195e-03,  Validation Loss: 5.383e-03,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 5.696e-02,  Validation Loss: 3.243e-03,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 3.185e-03,  Validation Loss: 3.071e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.00083769
Epoch   9 (Period 1):  Train Loss: 2.878e-03,  Validation Loss: 6.587e-03,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.003332
Epoch  10 (Period 1):  Train Loss: 6.050e-03,  Validation Loss: 1.746e-03,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.0074273
Epoch  11 (Period 1):  Train Loss: 1.129e-02,  Validation Loss: 3.079e-03,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.013032
Epoch  12 (Period 1):  Train Loss: 3.364e-02,  Validation Loss: 7.213e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  13 (Period 1):  Train Loss: 4.821e-02,  Validation Loss: 2.201e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.028238
Epoch  14 (Period 1):  Train Loss: 6.605e-02,  Validation Loss: 3.282e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0375
Epoch  15 (Period 1):  Train Loss: 8.238e-02,  Validation Loss: 5.692e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.047599
Epoch  16 (Period 1):  Train Loss: 9.559e-02,  Validation Loss: 6.620e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.058311
Epoch  17 (Period 1):  Train Loss: 9.873e-02,  Validation Loss: 6.505e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.069395
Epoch  18 (Period 1):  Train Loss: 7.639e-02,  Validation Loss: 5.887e-02,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.080605
Epoch  19 (Period 1):  Train Loss: 1.244e-01,  Validation Loss: 1.207e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.091689
Epoch  20 (Period 1):  Train Loss: 3.113e-01,  Validation Loss: 1.359e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.1024
Epoch  21 (Period 1):  Train Loss: 1.475e-01,  Validation Loss: 1.340e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.1125
Epoch  22 (Period 1):  Train Loss: 1.292e-01,  Validation Loss: 1.261e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.12176
Epoch  23 (Period 1):  Train Loss: 1.206e-01,  Validation Loss: 1.201e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.12998
Epoch  24 (Period 1):  Train Loss: 1.198e-01,  Validation Loss: 1.174e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.13697
Epoch  25 (Period 1):  Train Loss: 1.512e-01,  Validation Loss: 1.181e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.14257
Epoch  26 (Period 1):  Train Loss: 1.176e-01,  Validation Loss: 1.164e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.14667
Epoch  27 (Period 1):  Train Loss: 1.173e-01,  Validation Loss: 1.176e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.14916
Epoch  28 (Period 1):  Train Loss: 1.172e-01,  Validation Loss: 1.195e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  29 (Period 1):  Train Loss: 1.174e-01,  Validation Loss: 1.186e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.15
Epoch  30 (Period 1):  Train Loss: 1.178e-01,  Validation Loss: 1.169e-01,  Epoch Time: 0.30s,  Current Pruning Threshold: 0.15
Epoch  31 (Period 2):  Train Loss: 2.901e-01,  Validation Loss: 4.198e-04,  Epoch Time: 0.30s,  Current Pruning Threshold: 0
Epoch  32 (Period 2):  Train Loss: 2.567e-04,  Validation Loss: 1.508e-04,  Epoch Time: 0.30s,  Current Pruning Threshold: 0
Epoch  33 (Period 2):  Train Loss: 1.159e-04,  Validation Loss: 8.958e-05,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  34 (Period 2):  Train Loss: 9.016e-05,  Validation Loss: 7.253e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch  35 (Period 2):  Train Loss: 7.950e-05,  Validation Loss: 7.285e-05,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  36 (Period 2):  Train Loss: 7.656e-04,  Validation Loss: 1.234e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  37 (Period 2):  Train Loss: 4.073e-02,  Validation Loss: 1.621e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  38 (Period 2):  Train Loss: 1.072e-03,  Validation Loss: 7.344e-05,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.00083769
Epoch  39 (Period 2):  Train Loss: 2.052e-03,  Validation Loss: 7.100e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.003332
Epoch  40 (Period 2):  Train Loss: 1.029e-03,  Validation Loss: 6.410e-04,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.0074273
