Total Dimensions: 20
Training dimension 1...
Epoch   5 (Period 1):  Train Loss: 2.178e-03,  Validation Loss: 1.924e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 1.738e-03,  Validation Loss: 1.350e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 2.075e-03,  Validation Loss: 3.552e-03,  Epoch Time: 0.13s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.017e-02,  Validation Loss: 2.262e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 8.610e-02,  Validation Loss: 2.633e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 4.020e-01,  Validation Loss: 4.001e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 4.174e-01,  Validation Loss: 2.413e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 9.646e-02,  Validation Loss: 8.928e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 5.832e-02,  Validation Loss: 1.838e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 1.429e-01,  Validation Loss: 3.025e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  15 (Period 1):  Train Loss: 3.673e-01,  Validation Loss: 7.795e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0010179
Epoch  16 (Period 1):  Train Loss: 2.129e-02,  Validation Loss: 2.150e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  17 (Period 1):  Train Loss: 1.462e-03,  Validation Loss: 8.061e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  18 (Period 1):  Train Loss: 1.863e-03,  Validation Loss: 7.049e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  19 (Period 1):  Train Loss: 2.623e-03,  Validation Loss: 5.335e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  20 (Period 1):  Train Loss: 3.337e-03,  Validation Loss: 4.335e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.012232
Epoch  21 (Period 1):  Train Loss: 1.910e-03,  Validation Loss: 3.583e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.015875
Epoch  22 (Period 1):  Train Loss: 1.788e-03,  Validation Loss: 5.266e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.019946
Epoch  23 (Period 1):  Train Loss: 1.575e-03,  Validation Loss: 6.458e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024425
Epoch  24 (Period 1):  Train Loss: 2.709e-03,  Validation Loss: 9.035e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  25 (Period 1):  Train Loss: 2.024e-03,  Validation Loss: 1.387e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  26 (Period 1):  Train Loss: 2.042e-03,  Validation Loss: 1.443e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.040072
Epoch  27 (Period 1):  Train Loss: 2.005e-03,  Validation Loss: 1.380e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  28 (Period 1):  Train Loss: 1.851e-03,  Validation Loss: 1.328e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.052075
Epoch  29 (Period 1):  Train Loss: 1.624e-03,  Validation Loss: 1.305e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  30 (Period 1):  Train Loss: 1.454e-03,  Validation Loss: 1.087e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.065054
Epoch  31 (Period 1):  Train Loss: 1.153e-03,  Validation Loss: 7.999e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.071827
Epoch  32 (Period 1):  Train Loss: 9.583e-04,  Validation Loss: 6.769e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.078743
Epoch  33 (Period 1):  Train Loss: 4.920e-04,  Validation Loss: 2.868e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.085769
Epoch  34 (Period 1):  Train Loss: 2.271e-04,  Validation Loss: 1.720e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.092866
Epoch  35 (Period 1):  Train Loss: 1.432e-04,  Validation Loss: 1.087e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.1
Epoch  36 (Period 1):  Train Loss: 2.112e-04,  Validation Loss: 3.136e-07,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.10713
Epoch  37 (Period 1):  Train Loss: 4.293e-07,  Validation Loss: 4.249e-11,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.11423
Epoch  38 (Period 1):  Train Loss: 7.974e-12,  Validation Loss: 4.526e-14,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.12126
Early stopping at epoch 38 as train loss 0.00000000000797 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.86s
Final model saved as best with loss: 4.526033e-14
Training dimension 3...
Epoch   1 (Period 1):  Train Loss: 5.338e+00,  Validation Loss: 6.942e+00,  Epoch Time: 0.15s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 1.714e+00,  Validation Loss: 1.812e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 4.348e-02,  Validation Loss: 1.332e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 6.781e-03,  Validation Loss: 3.497e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 3.574e-03,  Validation Loss: 2.203e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.765e-03,  Validation Loss: 2.225e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.506e-03,  Validation Loss: 9.020e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.069e-03,  Validation Loss: 1.159e-03,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.393e-03,  Validation Loss: 2.225e-03,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.108e-03,  Validation Loss: 1.287e-03,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.066e-03,  Validation Loss: 8.471e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 2.168e-03,  Validation Loss: 2.576e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 3.400e-03,  Validation Loss: 5.479e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 3.707e-03,  Validation Loss: 2.640e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  15 (Period 1):  Train Loss: 1.814e-03,  Validation Loss: 1.231e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0010179
Epoch  16 (Period 1):  Train Loss: 1.666e-03,  Validation Loss: 8.371e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  17 (Period 1):  Train Loss: 7.639e-04,  Validation Loss: 1.052e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  18 (Period 1):  Train Loss: 1.569e-03,  Validation Loss: 5.575e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  19 (Period 1):  Train Loss: 3.579e-03,  Validation Loss: 2.521e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  20 (Period 1):  Train Loss: 1.958e-03,  Validation Loss: 3.375e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.012232
Epoch  21 (Period 1):  Train Loss: 1.339e-03,  Validation Loss: 3.495e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.015875
Epoch  22 (Period 1):  Train Loss: 1.324e-03,  Validation Loss: 4.164e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.019946
Epoch  23 (Period 1):  Train Loss: 1.105e-03,  Validation Loss: 4.601e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024425
Epoch  24 (Period 1):  Train Loss: 1.632e-03,  Validation Loss: 9.440e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  25 (Period 1):  Train Loss: 1.749e-03,  Validation Loss: 1.025e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  26 (Period 1):  Train Loss: 2.532e-03,  Validation Loss: 1.882e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.040072
Epoch  27 (Period 1):  Train Loss: 2.038e-03,  Validation Loss: 1.588e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  28 (Period 1):  Train Loss: 1.910e-03,  Validation Loss: 1.630e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.052075
Epoch  29 (Period 1):  Train Loss: 1.420e-03,  Validation Loss: 1.360e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  30 (Period 1):  Train Loss: 1.429e-03,  Validation Loss: 1.293e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.065054
Epoch  31 (Period 1):  Train Loss: 1.455e-03,  Validation Loss: 1.239e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.071827
Epoch  32 (Period 1):  Train Loss: 1.109e-03,  Validation Loss: 8.747e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.078743
Epoch  33 (Period 1):  Train Loss: 8.007e-04,  Validation Loss: 3.263e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.085769
Epoch  34 (Period 1):  Train Loss: 2.671e-04,  Validation Loss: 2.076e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.092866
Epoch  35 (Period 1):  Train Loss: 1.794e-04,  Validation Loss: 1.404e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.1
Epoch  36 (Period 1):  Train Loss: 2.838e-04,  Validation Loss: 1.777e-07,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.10713
Epoch  37 (Period 1):  Train Loss: 5.947e-09,  Validation Loss: 3.669e-12,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.11423
Epoch  38 (Period 1):  Train Loss: 4.605e-13,  Validation Loss: 1.010e-14,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.12126
Early stopping at epoch 38 as train loss 0.00000000000046 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.89s
Final model saved as best with loss: 1.010479e-14
Training dimension 4...
Epoch   1 (Period 1):  Train Loss: 7.572e+00,  Validation Loss: 2.484e+00,  Epoch Time: 0.15s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 3.059e-01,  Validation Loss: 2.387e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.163e-02,  Validation Loss: 5.130e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 4.737e-03,  Validation Loss: 3.666e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 3.050e-03,  Validation Loss: 2.572e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.144e-03,  Validation Loss: 1.922e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 2.633e-03,  Validation Loss: 6.642e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.838e-03,  Validation Loss: 1.038e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 2.051e-03,  Validation Loss: 3.229e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.438e-03,  Validation Loss: 8.297e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.014e-03,  Validation Loss: 2.277e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 7.156e-03,  Validation Loss: 1.884e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 1.017e-02,  Validation Loss: 1.035e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 3.262e-03,  Validation Loss: 9.919e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  15 (Period 1):  Train Loss: 5.332e-04,  Validation Loss: 6.664e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.0010179
Epoch  16 (Period 1):  Train Loss: 8.042e-04,  Validation Loss: 1.234e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  17 (Period 1):  Train Loss: 1.241e-03,  Validation Loss: 3.551e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
