Total Dimensions: 20
Training dimension 1...
Epoch   4 (Period 1):  Train Loss: 5.613e-04,  Validation Loss: 4.246e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 3.789e-04,  Validation Loss: 3.099e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.692e-04,  Validation Loss: 2.226e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.843e-04,  Validation Loss: 1.699e-04,  Epoch Time: 0.15s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.458e-04,  Validation Loss: 1.144e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.361e-04,  Validation Loss: 1.274e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.014e-04,  Validation Loss: 8.410e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 8.249e-05,  Validation Loss: 8.481e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.00025479
Epoch  12 (Period 1):  Train Loss: 7.484e-05,  Validation Loss: 6.355e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0010179
Epoch  13 (Period 1):  Train Loss: 6.631e-05,  Validation Loss: 5.469e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  14 (Period 1):  Train Loss: 6.967e-05,  Validation Loss: 6.194e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  15 (Period 1):  Train Loss: 6.302e-05,  Validation Loss: 7.694e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.006305
Epoch  16 (Period 1):  Train Loss: 5.521e-05,  Validation Loss: 5.010e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0090368
Epoch  17 (Period 1):  Train Loss: 8.463e-05,  Validation Loss: 5.721e-05,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.012232
Epoch  18 (Period 1):  Train Loss: 8.010e-05,  Validation Loss: 4.454e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.015875
Epoch  19 (Period 1):  Train Loss: 8.948e-05,  Validation Loss: 3.993e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.019946
Epoch  20 (Period 1):  Train Loss: 8.623e-05,  Validation Loss: 4.253e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.024425
Epoch  21 (Period 1):  Train Loss: 7.422e-05,  Validation Loss: 3.923e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.029289
Epoch  22 (Period 1):  Train Loss: 1.209e-04,  Validation Loss: 3.567e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  23 (Period 1):  Train Loss: 1.707e-04,  Validation Loss: 3.421e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.040072
Epoch  24 (Period 1):  Train Loss: 2.061e-04,  Validation Loss: 3.564e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.045936
Epoch  25 (Period 1):  Train Loss: 2.031e-04,  Validation Loss: 4.259e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.052075
Epoch  26 (Period 1):  Train Loss: 3.719e-04,  Validation Loss: 7.244e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  27 (Period 1):  Train Loss: 2.708e-04,  Validation Loss: 5.350e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.065054
Epoch  28 (Period 1):  Train Loss: 3.301e-04,  Validation Loss: 7.875e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.071827
Epoch  29 (Period 1):  Train Loss: 1.395e-04,  Validation Loss: 4.263e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.078743
Epoch  30 (Period 1):  Train Loss: 3.917e-05,  Validation Loss: 1.448e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.085769
Epoch  31 (Period 1):  Train Loss: 3.691e-06,  Validation Loss: 2.052e-06,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.092866
Epoch  32 (Period 1):  Train Loss: 2.401e-06,  Validation Loss: 1.181e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.1
Epoch  33 (Period 1):  Train Loss: 1.381e-08,  Validation Loss: 8.282e-10,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.10713
Epoch  34 (Period 1):  Train Loss: 1.825e-10,  Validation Loss: 8.470e-12,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.11423
Epoch  35 (Period 1):  Train Loss: 1.640e-12,  Validation Loss: 4.816e-14,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.12126
Early stopping at epoch 35 as train loss 0.00000000000164 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.50s
Final model saved as best with loss: 4.815908e-14
Training dimension 3...
Epoch   1 (Period 1):  Train Loss: 6.617e-02,  Validation Loss: 3.049e-02,  Epoch Time: 0.15s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 5.131e-03,  Validation Loss: 2.584e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.467e-04,  Validation Loss: 8.054e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 6.170e-05,  Validation Loss: 4.975e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 4.268e-05,  Validation Loss: 3.802e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 3.195e-05,  Validation Loss: 3.610e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 2.873e-05,  Validation Loss: 2.923e-05,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 2.206e-05,  Validation Loss: 1.691e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.743e-05,  Validation Loss: 1.899e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.843e-05,  Validation Loss: 2.480e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.533e-05,  Validation Loss: 1.065e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.00025479
Epoch  12 (Period 1):  Train Loss: 1.116e-05,  Validation Loss: 9.179e-06,  Epoch Time: 0.12s,  Current Pruning Threshold: 0.0010179
Epoch  13 (Period 1):  Train Loss: 9.998e-06,  Validation Loss: 8.884e-06,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.0022853
Epoch  14 (Period 1):  Train Loss: 1.026e-05,  Validation Loss: 7.679e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  15 (Period 1):  Train Loss: 9.452e-06,  Validation Loss: 7.038e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.006305
Epoch  16 (Period 1):  Train Loss: 1.614e-05,  Validation Loss: 7.228e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  17 (Period 1):  Train Loss: 9.282e-06,  Validation Loss: 6.348e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.012232
Epoch  18 (Period 1):  Train Loss: 4.103e-05,  Validation Loss: 1.352e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.015875
Epoch  19 (Period 1):  Train Loss: 6.837e-05,  Validation Loss: 1.182e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.019946
Epoch  20 (Period 1):  Train Loss: 8.579e-05,  Validation Loss: 1.566e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.024425
Epoch  21 (Period 1):  Train Loss: 8.849e-05,  Validation Loss: 2.062e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  22 (Period 1):  Train Loss: 5.109e-05,  Validation Loss: 2.131e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  23 (Period 1):  Train Loss: 1.343e-04,  Validation Loss: 1.475e-05,  Epoch Time: 0.14s,  Current Pruning Threshold: 0.040072
Epoch  24 (Period 1):  Train Loss: 5.696e-05,  Validation Loss: 2.016e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  25 (Period 1):  Train Loss: 3.530e-05,  Validation Loss: 1.122e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.052075
Epoch  26 (Period 1):  Train Loss: 1.068e-05,  Validation Loss: 5.963e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.058458
Epoch  27 (Period 1):  Train Loss: 6.968e-06,  Validation Loss: 4.186e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.065054
Epoch  28 (Period 1):  Train Loss: 2.761e-06,  Validation Loss: 2.505e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.071827
Epoch  29 (Period 1):  Train Loss: 1.726e-05,  Validation Loss: 3.160e-08,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.078743
Epoch  30 (Period 1):  Train Loss: 3.778e-05,  Validation Loss: 1.449e-08,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.085769
Epoch  31 (Period 1):  Train Loss: 1.296e-08,  Validation Loss: 1.269e-08,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.092866
Epoch  32 (Period 1):  Train Loss: 8.167e-10,  Validation Loss: 1.229e-12,  Epoch Time: 0.11s,  Current Pruning Threshold: 0.1
